"Province","District","Urea (kg/ha)","NPK 17:17:17 (kg/ha)","DAP (kg/ha)","Expected yield increase (t)","Cassava Price","Total sale (RWF)","Fertilizer cost (RWF)","Profit (RWF)"
"Western","Karongi",130,60,80,17,"40000",17,6.4,10.6
"Western","Ngororero",140,60,80,17,"40000",17,6.6,10.4
"Western","Nyabihu",130,60,80,17,"40000",17,6.3,10.7
"Western","Nyamasheke",140,60,80,17,"40000",17,6.6,10.4
"Western","Rubavu",130,60,80,17,"40000",17,6.4,10.6
"Western","Rusizi",90,40,55,11,"40000",11,4.4,6.6
"Western","Rutsiro",140,50,80,17,"40000",17,6.5,10.5
