"Province","District","Urea (kg/ha)","NPK 17:17:17 (kg/ha)","DAP (kg/ha)","Expected yield increase (t)","Cassava Price","Total sale (RWF)","Fertilizer cost (RWF)","Profit (RWF)"
"Eastern","Bugesera",140,50,80,17,"40000",17,6.6,10.4
"Eastern","Gatsibo",130,60,80,17,"40000",17,6.5,10.5
"Eastern","Kayonza",130,60,80,16,"40000",16,6.5,9.5
"Eastern","Kirehe",130,60,80,16,"40000",16,6.5,9.5
"Eastern","Ngoma",140,50,80,17,"40000",17,6.7,10.3
"Eastern","Nyagatare",130,60,80,17,"40000",17,6.6,10.4
"Eastern","Rwamagana",130,60,80,17,"40000",17,6.5,10.5
